Genes;ProteinAccessions;ProteinDescriptions;log2 daf2_d1_01;log2 daf2_d1_02;log2 daf2_d1_03;log2 daf2_d1_04;log2 N2_d1_01;log2 N2_d1_02;log2 N2_d1_03;log2 N2_d1_04; -Log.p.value;Student's T-test q-value daf2_d1_N2_d1;log2FC;Student's T-test Test statistic daf2_d1_N2_d1;Sign p-val: 0.05 
CELE_T22B11,4;O44561;Uncharacterized protein;13,5278;13,6224;13,8167;14,2319;14,3244;13,9185;14,3373;14,3411;1,21139;0,0428429;-0,430655;-2,29568;+
lam-1;O44565;LAMinin related, See also lmb;16,6377;16,7504;16,7072;16,649;16,7377;16,5343;16,6453;16,8138;0,0169681;0,945304;0,00329447;0,0500817;
CELE_W03F8,4;O44566;Uncharacterized protein;15,5686;15,2332;15,4584;15,1074;15,7276;15,867;15,7532;15,4258;1,32912;0,0322014;-0,35152;-2,49462;+
W03F8,3;O44568;Probable peptide chain release factor 1, mitochondrial;11,0317;10,6689;10,7953;10,7999;10,5911;9,19772;9,84919;10,5942;1,16824;0,0469891;0,7659;2,22337;+
tni-4;O44572;Troponin I 4;13,9337;14,1199;14,4463;13,916;14,7182;14,3728;14,3316;14,5346;1,35998;0,0300312;-0,385328;-2,54722;+
"CELE_F48G7,5;CELE_F48G7,8";"O44585;O44587";Uncharacterized protein;14,5634;14,5127;14,5409;14,4374;14,3598;14,8559;14,6074;14,668;0,46479;0,26518;-0,109143;-1,02953;
hacd-1;O44608;Hydroxy-Acyl-CoA Dehydrogenase;15,3403;15,6187;15,5776;15,3179;14,585;15,8144;15,0053;15,2619;0,506686;0,23725;0,296977;1,10523;
CELE_K11D12,7;O44622;Uncharacterized protein;16,3629;16,2394;16,3035;16,0454;15,5554;15,7003;15,9132;16,006;1,9483;0,0085632;0,44407;3,60753;+
pqn-51;O44625;Prion-like-(Q/N-rich)-domain-bearing protein;13,6096;13,9032;14,4318;13,6544;13,4662;13,6587;14,3111;13,7829;0,137423;0,650366;0,0950172;0,363427;
cyp-35a5;O44649;CYtochrome P450 family;12,3022;12,5716;12,1889;12,5234;9,96342;9,88244;9,74589;9,96253;6,47179;0;2,50794;24,0745;+
cyp-34a8;O44658;CYtochrome P450 family;13,6359;13,7728;13,5994;13,6625;13,6083;13,3351;13,6713;12,9908;0,835097;0,103726;0,266273;1,66887;
"nlp-31;nlp-29;nlp-28";"O44662;O44664;O44665";"Neuropeptide-like protein 31;Neuropeptide-like protein 29;Neuropeptide-like protein 28";19,3225;17,9361;18,5577;18,4343;17,546;17,7484;17,942;18,3363;1,04232;0,0616287;0,669462;2,01349;
C14C6,6;O44670;Uncharacterized protein;14,4561;14,9432;13,7246;13,9879;13,7291;14,2167;12,6495;14,9187;0,307215;0,403491;0,399448;0,729938;
C14C6,2;O44675;Uncharacterized protein;17,0143;16,4931;16,4445;17,076;16,6745;15,6181;16,0141;16,0759;1,27784;0,0361225;0,661315;2,40765;+
cpn-4;O44727;CalPoNin;17,0734;17,0944;17,2331;17,0906;16,1318;17,1367;17,2097;17,0427;0,423444;0,295041;0,242656;0,953431;
prp-17;O44729;Yeast PRP (Splicing factor) related;12,8315;12,5784;12,7344;13,3474;12,8959;13,1812;13,2191;13,1839;0,64776;0,165808;-0,2471;-1,35227;
zig-7;O44730;Zwei Ig domain protein zig-7;14,3895;15,1949;14,425;14,411;14,4777;13,8366;13,6812;14,1273;1,14203;0,0493369;0,574385;2,17955;+
CELE_F54D7,2;O44732;Uncharacterized protein;15,4269;15,4808;15,4294;15,0821;15,4618;15,4996;15,4492;16,185;0,711996;0,140556;-0,294085;-1,46187;
CELE_F57B10,8;O44734;Uncharacterized protein;11,7832;12,224;11,4498;12,5737;10,4015;11,776;13,2079;13,1638;0,0648008;0,812943;-0,129641;-0,182249;
CELE_F57B10,5;O44738;Uncharacterized protein;14,0483;13,8553;13,6208;13,9709;13,9086;14,3909;15,7877;14,7806;1,06892;0,0576951;-0,84311;-2,05771;
bag-1;O44739;BAG family molecular chaperone regulator 1;16,4674;15,9323;16,1373;16,2079;16,2412;16,0942;16,0085;16,0781;0,276557;0,438673;0,0806997;0,667987;
CELE_F57B10,4;O44741;Uncharacterized protein;11,0302;10,6599;10,7963;10,7647;12,6123;13,0959;13,4544;12,1143;3,25238;0,000987952;-2,00642;-6,64852;+
app-1;O44750;Xaa-Pro aminopeptidase app-1;15,8744;15,7924;15,9108;15,8546;16,4776;16,0179;16,2457;16,4308;2,17282;0,00546087;-0,434955;-4,05119;+
"CELE_F33D11,10;CELE_Y65B4A,6";"O44781;Q9BL61";Uncharacterized protein;16,4557;16,4621;16,1871;16,4416;16,7475;17,0975;17,0485;16,933;2,84622;0,00190282;-0,570024;-5,56597;+
vpr-1;O44782;Major sperm protein;16,5276;16,1632;16,2707;16,1985;16,4858;16,473;16,379;16,3944;0,824586;0,106511;-0,143053;-1,6513;
usp-39;O44787;Ubiquitin Specific Protease;13,8165;13,5977;14,4196;13,4168;14,2042;13,5486;14,1286;14,4571;0,414005;0,303091;-0,271985;-0,935841;
bath-4;O44815;BTB and MATH domain containing;14,6488;12,5588;12,8678;10,405;13,7992;9,78338;10,0159;12,4165;0,372268;0,336801;1,11634;0,856978;
fgt-1;O44827;Facilitated glucose transporter protein 1;15,7947;15,6311;15,6086;15,4188;15,9782;16,0698;16,3706;15,9614;2,11905;0,00596348;-0,481713;-3,94255;+
nep-2;O44857;Neprilysin-2;13,3947;13,5924;13,5765;13,4513;13,8493;13,4854;13,7915;14,2663;1,06654;0,0581048;-0,344412;-2,05375;
clec-150;O44871;C-type LECtin;16,5445;15,056;15,3711;15,1617;15,2194;15,1249;15,3999;15,5533;0,237378;0,489134;0,208985;0,586494;
inx-13;O44887;Innexin;16,2368;16,2485;16,3109;16,3249;16,0838;16,0845;16,0575;16,1821;2,63787;0,00221001;0,17828;5,06375;+
CELE_ZK484,3;O44895;Uncharacterized protein;15,1484;15,0987;15,1858;15,075;14,4391;14,0336;14,2569;14,4087;3,91776;0,000388747;0,842442;8,78205;+
haf-9;O44897;HAlF transporter (PGP related);15,2587;15,1854;15,1015;15,1385;15,6471;15,4521;15,4127;15,8868;2,03157;0,00721208;-0,42864;-3,76907;+
msrp-2;O44898;MS Related Protein;16,8414;16,48;16,5513;16,2684;16,3779;15,851;16,0241;16,442;1,0097;0,0666808;0,361493;1,95928;
pck-1;O44906;Phosphoenolypyruvate CarboxyKinase;19,5777;19,6203;19,5345;19,7096;17,9871;18,5873;18,5704;17,7415;3,17928;0,00108571;1,38896;6,44269;+
CELE_W10G11,19;O44923;Uncharacterized protein;11,8589;13,7125;12,9779;13,8991;13,8463;14,1628;13,426;14,2852;0,813832;0,109368;-0,817983;-1,63332;
C17F3,1;O44946;Uncharacterized protein;13,9055;14,4281;14,4783;12,788;13,9316;13,8521;13,8997;13,8899;0,00567256;0,980839;0,00666213;0,0169535;
C34B2,5;O44951;Uncharacterized protein;15,421;14,9578;15,2954;15,6385;14,7308;13,9938;13,8919;14,4884;2,28709;0,00417241;1,05192;4,28749;+
lonp-1;O44952;Lon protease homolog, mitochondrial;15,2621;15,1424;15,2824;14,96;15,6453;15,7901;15,8143;15,7206;3,36727;0,000932677;-0,580815;-6,98252;+
C34B2,10;O44953;Probable signal peptidase complex subunit 1;15,0267;14,1442;14,946;14,5297;15,2624;15,052;15,1237;14,8899;0,989954;0,0698432;-0,42035;-1,9265;
sdha-2;O44954;Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial;16,1441;15,9326;15,9666;15,9773;15,7037;15,5793;15,4614;15,7658;2,42183;0,00317384;0,377555;4,57614;+
C34B2,8;O44955;Uncharacterized protein;15,8452;15,5562;15,5322;15,5276;15,9698;15,9334;16,5839;15,8534;1,35726;0,0301966;-0,469822;-2,54259;+
riok-1;O44959;Serine/threonine-protein kinase RIO1;14,8699;13,7014;14,1542;13,1862;14,2842;14,3707;14,4573;14,3321;0,485673;0,250349;-0,383135;-1,06743;
CELE_F56C11,3;O44975;Sulfhydryl oxidase;13,8994;13,711;12,9642;13,4447;13,3635;13,6524;13,8384;13,5218;0,15045;0,626588;-0,0892322;-0,393986;
CELE_K02F2,5;O44983;Uncharacterized protein;15,5335;15,3469;15,0717;16,3818;14,9178;15,4683;15,3495;15,0704;0,579898;0,195577;0,381987;1,23473;
teg-4;O44985;Tumorous Enhancer of Glp-1(Gf);14,9646;14,6045;14,4438;14,5;14,7087;14,6113;14,6996;15,0103;0,387761;0,323913;-0,12927;-0,88647;
CELE_K09H9,8;O44990;Uncharacterized protein;14,605;13,9002;14,5029;15,168;14,2616;13,3818;12,372;13,7013;1,24495;0,0393618;1,11491;2,35215;+
lpd-6;O44991;LiPid Depleted;14,7789;14,1942;13,7094;14,0806;14,727;14,7907;14,7148;15,0021;1,43103;0,0256753;-0,617872;-2,66921;+
CELE_K09H9,2;O44992;Uncharacterized protein;13,0967;13,0232;12,5747;12,6188;10,8619;12,4294;10,868;10,5135;1,99399;0,00777349;1,66015;3,69576;+
CELE_K12C11,1;O44995;Uncharacterized protein;17,4616;17,5745;17,4743;17,4882;17,4687;17,5309;17,3687;17,5075;0,291468;0,420879;0,0307055;0,698303;
CELE_W10C8,5;O45011;Uncharacterized protein;18,2723;18,3582;18,0501;18,3441;18,1082;18,3825;18,3409;18,2609;0,0645638;0,813453;-0,0169697;-0,181623;
nol-5;O45012;NucleOLar protein;16,6377;16,3704;16,5041;16,3445;17,6967;17,3457;17,4141;17,6145;4,20641;0;-1,05358;-9,87648;+
CELE_W01B11,6;O45017;Uncharacterized protein;16,8067;16,6723;16,6907;16,3186;14,9785;15,0934;15,2816;15,3919;4,29233;0;1,43573;10,225;+
C35B1,5;O45060;Uncharacterized protein;19,0302;19,0272;18,9703;18,6163;18,6252;18,609;18,676;18,4323;1,55908;0,0200197;0,325405;2,89258;+
C11D2,4;O45069;Uncharacterized protein;13,491;12,761;12,6683;11,7772;13,198;13,1595;13,0263;13,0776;0,587714;0,192507;-0,440983;-1,24838;
CELE_F53H1,3;O45074;Uncharacterized protein;10,8947;10,7027;10,2454;10,8295;13,2651;14,0625;13,9817;13,7921;4,9754;0;-3,10726;-13,4243;+
CELE_F53H1,4;"O45075;Q86MG4";Uncharacterized protein;13,9683;13,3522;13,6347;13,4191;13,558;13,2615;13,4893;13,4728;0,432518;0,288105;0,148192;0,970262;
C17H12,8;O45078;Uncharacterized protein;13,6101;13,6749;13,5829;14,3257;16,3421;16,6238;16,7671;16,9077;4,96379;0;-2,86179;-13,3629;+
C17H12,11;O45082;Uncharacterized protein;13,4034;13,0502;13,0193;13,2697;13,9239;13,621;13,3902;13,5741;1,66157;0,0156285;-0,441687;-3,07512;+
C17H12,4;O45083;Uncharacterized protein;14,1109;14,6582;14,9227;14,3954;13,1232;13,9647;13,9819;13,7224;1,67589;0,0151602;0,823757;3,10092;+
C17H12,2;O45086;Uncharacterized protein;11,5594;12,5896;12,9135;12,8156;11,6729;12,0055;11,6671;13,6841;0,140109;0,645749;0,212116;0,36977;
dyci-1;O45087;DYnein Chain, light Intermediate;14,9673;14,944;14,7716;14,8525;15,6316;15,5123;15,3651;15,6418;3,78374;0,000462585;-0,65387;-8,31123;+
faah-3;O45089;Fatty Acid Amide Hydrolase homolog;13,6982;12,8099;11,9622;13,1774;12,9521;12,9073;12,5088;12,8529;0,103563;0,721851;0,106646;0,281426;
CELE_F57H12,6;O45097;Uncharacterized protein;17,3133;17,2677;17,4194;16,9244;16,1648;16,2498;16,3806;16,7033;2,7669;0,00208994;0,85658;5,37086;+
mec-17;O45100;Alpha-tubulin N-acetyltransferase 1;13,7397;13,9277;13,7175;13,6624;13,8604;13,2534;12,7178;12,8682;1,18213;0,0455222;0,58688;2,24662;+
ech-5;O45106;Enoyl-CoA Hydratase;17,379;17,1363;17,1649;17,2299;16,9582;17,3941;17,48;17,3658;0,225432;0,505454;-0,0719953;-0,561065;
mrpl-2;O45110;Mitochondrial Ribosomal Protein, Large;15,3252;15,142;15,8046;14,3254;15,3545;14,9083;15,0098;15,1923;0,0352654;0,892995;0,0330348;0,102095;
C05D2,8;O45136;Uncharacterized protein;13,9756;13,6521;14,2949;14,1686;14,3607;15,3039;14,3176;14,4265;1,10547;0,0531937;-0,579402;-2,11856;
C34H4,1;O45144;Uncharacterized protein;13,2709;12,157;12,936;12,6041;14,5186;15,11;14,159;13,5422;2,10925;0,00616609;-1,59045;-3,92291;+
era-1;O45146;Embryonic mRna (mRNA) Anterior;13,4705;13,5621;13,7499;14,2484;12,9077;12,0486;11,45;12,072;2,49224;0,00286229;1,63814;4,73158;+
dlst-1;O45148;DihydroLipoamide S-SuccinylTransferase;18,4452;18,4825;18,4693;18,263;17,6517;18,2348;17,7835;17,3414;1,86089;0,010078;0,662145;3,44149;+
sna-1;O45149;Small Nuclear RNA (snRNA) Associated protein;14,696;14,7043;14,642;14,6445;14,4946;13,899;14,0474;14,2563;2,05251;0,00688844;0,49738;3,81024;+
fbxa-65;O45159;F-box A protein;13,6678;13,657;13,4666;13,4347;13,281;13,5569;13,2341;13,4401;0,945446;0,0783365;0,17848;1,85258;
folt-2;O45166;Folate-like transporter 2;14,596;14,5062;14,1092;14,3271;14,9447;15,2043;15,0259;14,9161;2,6465;0,00223191;-0,638125;-5,08391;+
ifc-1;O45168;Intermediate filament protein ifc-1;15,1324;13,9226;14,0709;14,6252;16,3497;16,3928;16,8369;16,945;3,35686;0,000928105;-2,19332;-6,9517;+
CELE_K07H8,10;O45181;Uncharacterized protein;16,351;16,047;16,0025;15,8416;17,4829;17,6085;17,727;17,392;4,59774;0;-1,49206;-11,5563;+
ads-1;O45218;Alkyldihydroxyacetonephosphate synthase;15,9758;15,7165;16,2481;15,5847;15,9579;16,5749;16,6052;16,2565;1,15998;0,0479504;-0,467343;-2,20955;+
rpl-29;O45226;60S ribosomal protein L29;15,9709;15,1184;15,9793;15,7456;16,3209;18,7046;18,7548;14,371;0,584202;0,194172;-1,33426;-1,24225;
B0513,4;O45227;Uncharacterized protein;17,8161;17,7072;17,7919;17,8322;17,3933;17,4316;17,316;17,5706;3,00433;0,00172569;0,358983;5,97017;+
B0513,5;O45228;Proline dehydrogenase 1, mitochondrial;15,1828;14,9583;15,0428;15,1221;15,1525;14,7825;14,9715;15,4471;0,0273024;0,91399;-0,0119224;-0,079698;
C04H5,1;O45241;Multifunctional methyltransferase subunit TRM112-like protein;13,7099;13,8777;14,0719;13,5968;14,3776;14,112;14,3737;14,1479;1,88647;0,00975405;-0,438717;-3,48973;+
mog-4;O45244;Probable pre-mRNA-splicing factor ATP-dependent RNA helicase mog-4;13,0812;13,0325;12,1322;12,3443;12,8967;12,2783;11,8445;12,7975;0,226794;0,50353;0,19332;0,56398;
dlat-2;O45279;DihydroLipoyllysine-residue AcetylTransferase;16,135;15,7762;15,8565;15,772;15,9094;15,9928;16,0287;15,7082;0,0802983;0,774942;-0,0248599;-0,222652;
gly-8;O45293;Probable N-acetylgalactosaminyltransferase 8;18,6201;15,6902;15,7575;15,5842;15,8661;16,3643;16,3433;16,3708;0,0858254;0,762298;0,176863;0,236811;
ddo-1;O45307;D-aspartate oxidase 1;14,2111;13,816;14,5148;13,9572;13,9299;14,6618;14,5566;14,4609;0,583175;0,19449;-0,277545;-1,24046;
C49A1,10;O45310;Uncharacterized protein;15,2044;14,7789;15,0938;15,0965;15,1061;14,9269;14,9991;15,4628;0,213249;0,522563;-0,0803423;-0,534826;
C54E10,6;O45316;Uncharacterized protein;13,5106;13,8646;13,4108;13,6965;12,5319;13,3051;13,4284;12,2185;1,27906;0,0361044;0,74962;2,40971;+
tin-13;O45319;Mitochondrial import inner membrane translocase subunit tim-13;17,3526;16,9113;16,9589;16,7322;17,3998;16,5277;16,938;16,895;0,0791143;0,777075;0,048635;0,219602;
osm-11;O45346;Uncharacterized protein;17,3064;17,206;17,1898;17,3705;16,7558;16,6755;17,1479;17,1552;1,33124;0,0321845;0,33456;2,49822;+
CELE_F14H3,6;O45367;Uncharacterized protein;14,5221;14,0613;14,1738;14,5631;14,2272;13,208;12,9168;13,6377;1,43552;0,0255052;0,83266;2,67697;+
CELE_F17B5,1;O45373;Uncharacterized protein;15,8245;15,4038;14,8833;13,7657;13,535;14,2223;14,0501;13,4502;1,2657;0,0372791;1,15491;2,38714;+
tps-2;O45380;Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 2;14,6561;14,8708;14,6857;14,1466;13,9965;14,5191;14,2667;14,024;1,01404;0,0659746;0,388213;1,96649;
mltn-9;O45381;MLt-TeN (Mlt-10) related;13,868;13,7168;13,2371;13,6285;13,4986;11,9627;11,0931;12,435;1,40878;0,0267939;1,36524;2,63088;+
CELE_F21H7,5;O45386;Major sperm protein;14,4564;12,5851;13,7648;13,6209;15,7469;15,1668;15,9736;15,7003;2,53595;0,00271719;-2,04007;-4,82973;+
CELE_F22B8,7;O45394;Uncharacterized protein;15,4382;15,4373;15,3505;15,2317;14,5445;14,5236;14,4483;14,7728;4,05502;0,00027907;0,792117;9,28827;+
CELE_F22G12,4;O45398;Uncharacterized protein;13,2668;12,2969;11,3471;11,7998;13,9794;12,2238;14,6686;13,2276;1,04726;0,0609882;-1,34722;-2,02169;
exl-1;O45405;Chloride intracellular channel exl-1;17,3049;15,563;16,2309;13,9961;13,9672;14,0754;13,9082;14,1975;1,33023;0,0321929;1,73662;2,49651;+
kbp-3;O45406;Kinetochore-binding protein 3;14,4044;13,3445;14,1835;13,5993;11,2087;10,9445;9,77322;10,1206;3,70685;0,000433121;3,37119;8,05105;+
CELE_F31D4,2;O45417;Uncharacterized protein;13,3392;13,6491;13,4469;13,2002;13,1972;12,7922;12,8876;13,1485;1,58861;0,0183104;0,40245;2,9448;+
fkb-6;O45418;Peptidylprolyl isomerase;17,4421;17,3309;17,3409;17,023;17,0772;17,3916;16,9782;17,6804;0,00438105;0,985201;0,00240469;0,0131127;
mccc-1;O45430;MethylCrotonoyl-Coenzyme A Carboxylase (Alpha);17,2314;16,7707;16,5262;16,6201;17,0413;17,0599;17,5019;17,3474;1,23655;0,0401021;-0,450537;-2,33799;+
CELE_F32B6,3;O45431;Uncharacterized protein;14,0984;12,7504;13,1695;13,2866;14,1588;13,8503;13,5907;14,114;0,995524;0,0688794;-0,602257;-1,93575;
clec-62;"O45440;O45441";C-type LECtin;12,7324;12,6695;13,5397;12,7233;12,5948;12,629;12,6705;13,411;0,11711;0,691929;0,089901;0,314704;
clec-65;O45443;C-type LECtin;16,6868;16,3969;16,8281;16,4085;17,3547;16,2448;16,8361;16,9979;0,499613;0,240974;-0,278317;-1,09254;
clec-63;O45444;C-type LECtin;19,2763;19,146;19,4057;19,4214;19,7479;19,403;19,575;19,7624;1,57263;0,0192211;-0,30973;-2,9165;+
clec-66;O45445;C-type LECtin;13,697;12,8987;13,7476;13,1994;14,6958;13,7169;14,0423;14,5243;1,52713;0,021296;-0,85913;-2,83638;+
gst-38;O45451;Glutathione S-Transferase;14,5768;13,9937;14,2684;13,5786;16,4488;16,4016;16,5376;16,6391;4,47592;0;-2,40241;-11,0073;+
oac-20;O45470;O-ACyltransferase homolog;13,1778;11,9762;12,4448;12,5457;13,1621;13,7349;13,4837;12,4915;0,953636;0,0764052;-0,681932;-1,86618;
uev-1;O45495;Ubiquitin-conjugating enzyme E2 variant 1;16,9543;16,5676;16,6631;16,5998;16,6305;17,0529;16,8519;16,7649;0,465312;0,264889;-0,128855;-1,03048;
CELE_F39B2,3;O45496;Uncharacterized protein;15,8943;15,6144;15,8528;15,3328;15,0354;15,3867;15,4249;15,1684;1,41644;0,0263728;0,419715;2,64406;+
rps-26;O45499;40S ribosomal protein S26;21,2093;21,6212;21,7399;21,6628;21,3024;21,8022;21,6583;21,2879;0,0950512;0,739587;0,04565;0,260169;
dnj-12;O45502;DNaJ domain (Prokaryotic heat shock protein);16,1568;15,9798;15,9169;15,9489;16,3171;16,284;16,0513;16,3509;1,55875;0,0200394;-0,250203;-2,89199;+
mtx-1;O45503;Metaxin-1 homolog;15,1;15,2382;15,538;14,8086;15,7964;15,5475;15,7309;15,5818;1,63541;0,0167453;-0,492932;-3,02817;+
argk-1;O45518;ARGinine Kinase;15,2211;12,3699;14,5334;14,6302;16,5923;12,1905;12,3993;17,08;0,0944981;0,740875;-0,37687;-0,258778;
CELE_F45H10,2;O45525;Uncharacterized protein;19,4536;19,1745;19,4377;19,261;18,691;19,9011;19,1886;18,4298;0,365317;0,343245;0,279058;0,843658;
lsy-27;O45526;Uncharacterized protein;13,4988;13,0098;13,4366;13,6051;13,2109;13,3333;13,3574;13,1189;0,412402;0,304146;0,132437;0,932847;
dro-1;O45550;DR1 (One) transcription factor family;13,5383;13,071;12,9804;12,7429;13,5814;13,6632;13,4724;14,1917;1,50043;0,0225701;-0,644037;-2,78966;+
ife-1;O45551;Eukaryotic translation initiation factor 4E-1;15,6449;14,8551;14,8201;15,2733;15,2899;15,6364;15,431;15,1021;0,427633;0,291979;-0,216485;-0,96121;
acaa-2;O45552;ACetyl-CoA Acyltransferase 2 homolog;18,9083;18,8323;18,9238;18,8932;18,0672;18,5729;18,2615;18,144;2,84175;0,00192593;0,627965;5,55484;+
nep-17;O45569;NEPrilysin metallopeptidase family;17,0674;17,0044;16,9541;16,8969;17,8437;18,1863;18,1641;18,0862;4,81605;0;-1,08941;-12,6041;+
cpf-2;O45577;Cleavage and Polyadenylation Factor;15,4897;15,2004;15,3517;15,3216;15,2892;15,0171;15,0436;14,6949;1,2912;0,0350697;0,329653;2,43026;+
pot-2;O45595;Protection Of Telomeres 1 (Pot1) homolog;10,6167;10,7216;10,6598;10,7799;12,8132;12,631;13,622;12,3264;3,60469;0,00040396;-2,15366;-7,71615;+
CELE_F57C2,4;O45596;Uncharacterized protein;11,0413;10,591;10,7785;10,6259;12,1325;12,8071;12,6935;13,3242;3,52754;0,000611418;-1,98017;-7,47108;+
cbd-1;O45599;Chitin-Binding Domain protein;15,8376;15,8386;15,7772;15,4005;16,2344;16,1319;16,1918;16,2846;2,39287;0,00333277;-0,497208;-4,51315;+
erfa-3;O45622;Eukaryotic Release FActor homolog;16,5764;16,2164;16,4917;16,2448;16,3711;17,2542;17,1755;16,8857;1,31029;0,0334886;-0,539283;-2,46262;+
CELE_H40L08,1;O45628;Uncharacterized protein;14,2569;14,2683;14,3319;14,8047;15,5801;15,1475;14,6635;15,341;1,77155;0,0118593;-0,767572;-3,27529;+
CELE_K10D6,2;"O45669;O45670";Uncharacterized protein;13,799;13,2022;12,8192;13,5933;15,2782;13,2237;13,2114;14,2386;0,547861;0,212649;-0,634541;-1,17845;
cysl-2;O45679;Bifunctional L-3-cyanoalanine synthase/cysteine synthase;17,6198;17,458;17,7296;17,6363;17,2997;17,4207;17,6344;17,9689;0,0681419;0,803892;0,0300226;0,19105;
asah-1;O45686;Acid ceramidase;12,6895;12,9599;12,7824;13,3428;13,1353;12,8785;12,3649;13,3882;0,0024911;0,991344;0,00195765;0,00747206;
abhd-11,2;O45707;ABHydrolase Domain containing homolog;14,8973;13,9179;14,0411;13,2299;14,6013;14,1371;14,2256;14,3044;0,357532;0,350417;-0,29555;-0,828671;
CELE_R09B3,2;O45712;Uncharacterized protein;17,916;17,5845;17,7515;18,0354;17,596;17,176;16,9949;17,2093;1,94939;0,00855138;0,57781;3,60963;+
CELE_R09B3,3;O45713;Uncharacterized protein;21,5716;21,3582;21,4898;21,3659;21,506;21,1565;20,9434;21,202;0,989814;0,0698314;0,24442;1,92626;
nud-2;O45717;Aspergillus NUclear Division related;14,2173;13,6024;13,4748;13,2817;13,658;13,4216;13,0594;13,9039;0,194007;0,550216;0,133298;0,492714;
CELE_R11H6,2;O45719;Uncharacterized protein;14,0338;14,0758;14,2036;12,7813;12,8405;12,1311;11,7201;12,4592;1,96017;0,00820164;1,48591;3,63036;+
CELE_R74,8;"O45722;Q6BEV8";Uncharacterized protein;14,4189;13,1675;10,217;12,452;13,6913;14,3813;12,4569;14,606;0,567816;0,201744;-1,22002;-1,21357;
pmp-4;O45730;Peroxisomal Membrane Protein related;13,3074;11,5269;13,3345;13,3058;14,3304;13,6238;14,2545;14,5932;1,45217;0,0250115;-1,33184;-2,70576;+
cpl-1;O45734;CathePsin L family;19,3678;19,2635;19,3439;19,0054;18,7446;18,3864;18,569;18,7121;2,82615;0,00190244;0,642148;5,51615;+
CELE_T06E6,1;O45757;Uncharacterized protein;14,2531;14,4833;14,9888;14,3919;15,2443;14,9772;14,9747;15,0378;1,65795;0,0158346;-0,529242;-3,06862;+
CELE_T06E6,10;O45764;Uncharacterized protein;10,7564;10,6176;10,6526;10,6844;10,1819;9,31324;10,0438;11,0238;0,74997;0,128002;0,537052;1,52608;
T10C6,5;O45766;Protein CWC15 homolog;15,7216;14,7531;14,5425;15,0918;14,4883;14,7786;14,2983;15,292;0,411016;0,305147;0,312975;0,930253;
drr-2;O45781;Dietary Restriction Response (WT but not eat-2 lifespan increased);16,8522;16,6246;16,1062;16,6429;16,2946;16,3873;16,3971;16,4177;0,521679;0,227647;0,182298;1,13202;
CELE_T12D8,5;O45783;Uncharacterized protein;19,4103;19,3836;19,4387;19,0759;18,4851;18,4638;18,5405;18,6797;3,7072;0,000434043;0,784858;8,05224;+
CELE_T23G11,7;O45812;Uncharacterized protein;14,994;14,2174;14,3195;14,7899;14,6064;14,2823;14,2033;14,4205;0,438708;0,283511;0,202055;0,981699;
act-5;O45815;ACTin;19,372;19,3591;19,3639;19,5142;20,1205;19,9527;19,8695;20,0703;3,93343;0,000393782;-0,600942;-8,83859;+
gyg-2;O45819;GlYcoGenin like;15,214;15,0921;15,2239;15,5087;14,8291;14,8549;14,7519;14,7272;2,61988;0,00227519;0,46889;5,02192;+
CELE_T27E7,1;O45855;Uncharacterized protein;13,648;13,1548;13,3644;13,5672;13,5449;13,894;14,4373;13,1584;0,508706;0,236119;-0,325058;-1,10885;
CELE_T27E9,2;O45864;Cytochrome b-c1 complex subunit 6;19,2736;18,9499;18,7388;18,671;18,2905;17,8284;18,0516;18,3642;2,2712;0,00426439;0,774673;4,25416;+
ant-1,1;O45865;Adenine Nucleotide Translocator;22,2964;22,2793;22,2701;21,9466;21,719;22,0781;21,4987;20,8233;1,28044;0,0360083;0,668305;2,41204;+
pars-2;"O45869;Q1ZXR9";Prolyl Amino-acyl tRNA Synthetase;13,2794;13,2615;13,5145;13,7365;13,9193;13,8093;13,7593;13,6293;1,39323;0,0277392;-0,331332;-2,60416;+
T27F6,6;O45870;Putative neutral sphingomyelinase;12,4377;13,2358;12,9164;12,5959;13,1754;12,6772;12,4316;13,1213;0,0785638;0,778285;-0,0549324;-0,218182;
W09H1,5;O45903;Enoyl-[acyl-carrier-protein] reductase, mitochondrial;16,0928;15,9658;16,1812;15,5731;15,6161;15,8786;15,9395;15,8273;0,400241;0,313105;0,137865;0,910035;
lec-1;O45904;Galectin;17,5229;17,2327;17,4039;17,6057;18,2555;17,5535;18,1725;18,381;1,74632;0,0123812;-0,649323;-3,22895;+
